study	sample	experiment	run	ftp	name
SRP026126	SRS445950	SRX307091	SRR903130	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307091/SRR903130/SRR903130.sra	ABRF_ILMN_RIBO_C_3_0
SRP026126	SRS445925	SRX307066	SRR902962	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307066/SRR902962/SRR902962.sra	ABRF_ILMN_M_AS_1_0
SRP026126	SRS445951	SRX307093	SRR903148	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903148/SRR903148.sra	ABRF_ILMN_RIBO_D_1_0
SRP026126	SRS445942	SRX307083	SRR903073	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903073/SRR903073.sra	ABRF_ILMN_RIBO_A_3_0
SRP026126	SRS445924	SRX307064	SRR902950	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902950/SRR902950.sra	ABRF_ILMN_M_AH_2_0
SRP026126	SRS445941	SRX307082	SRR903058	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903058/SRR903058.sra	ABRF_ILMN_RIBO_A_2_0
SRP026126	SRS445951	SRX307093	SRR903150	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307093/SRR903150/SRR903150.sra	ABRF_ILMN_RIBO_D_1_1
SRP026126	SRS445942	SRX307083	SRR903069	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903069/SRR903069.sra	ABRF_ILMN_RIBO_A_3_1
SRP026126	SRS445956	SRX307096	SRR903174	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903174/SRR903174.sra	ABRF_ILMN_RIBO_D_4_0
SRP026126	SRS445941	SRX307082	SRR903059	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307082/SRR903059/SRR903059.sra	ABRF_ILMN_RIBO_A_2_1
SRP026126	SRS445942	SRX307083	SRR903066	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307083/SRR903066/SRR903066.sra	ABRF_ILMN_RIBO_A_3_2
SRP026126	SRS445924	SRX307064	SRR902948	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307064/SRR902948/SRR902948.sra	ABRF_ILMN_M_AH_2_1
SRP026126	SRS445926	SRX307067	SRR902971	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307067/SRR902971/SRR902971.sra	ABRF_ILMN_M_AS_2_0
SRP026126	SRS445956	SRX307096	SRR903171	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307096/SRR903171/SRR903171.sra	ABRF_ILMN_RIBO_D_4_1
SRP026126	SRS445945	SRX307086	SRR903093	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX307/SRX307086/SRR903093/SRR903093.sra	ABRF_ILMN_RIBO_B_2_0
